
Gurobi 12.0.0 (win64) logging started Mon Dec 22 16:59:16 2025

Set parameter LogFile to value "Storage/Logs/log_____________2025_12_22_16_59_16.log"
Set parameter MIPGap to value 0.01
Set parameter OutputFlag to value 1
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (win64 - Windows 10.0 (19045.2))

CPU model: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads

Non-default parameters:
MIPGap  0.01
MIPFocus  1

Optimize a model with 5695 rows, 1376 columns and 15614 nonzeros
Model fingerprint: 0x534a1bc7
Variable types: 42 continuous, 1334 integer (746 binary)
Coefficient statistics:
  Matrix range     [2e-01, 1e+06]
  Objective range  [6e+01, 2e+05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+06]
Found heuristic solution: objective 1.064000e+07
Presolve removed 3822 rows and 235 columns
Presolve time: 0.02s
Presolved: 1873 rows, 1141 columns, 9779 nonzeros
Variable types: 42 continuous, 1099 integer (679 binary)

Root relaxation: objective 4.785600e+03, 1641 iterations, 0.03 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 5141.72214    0  248 11631.0000 5141.72214  55.8%     -    1s
     0     2 5141.74571    0  248 11631.0000 5141.74571  55.8%     -    2s
H  307   305                    11532.000000 5150.76298  55.3%   109    4s
H  384   378                    11513.000000 5150.76298  55.3%  94.5    4s
H  385   378                    11339.000000 5150.76298  54.6%  94.5    4s
   455   449 9219.30077   78   53 11339.0000 5150.76298  54.6%  87.1    5s
H  546   439                    8202.0000000 5177.65240  36.9%  87.8    6s
H  759   599                    8197.0000000 5183.58332  36.8%  85.1    9s
   840   681 5443.33101   27   91 8197.00000 5183.58332  36.8%  80.2   10s
  1475  1151 5428.11473   20  241 8197.00000 5197.04291  36.6%  73.4   15s
  1558  1219 5255.26925   21  239 8197.00000 5206.57295  36.5%  92.3   20s
H 1623  1197                    8093.0000000 5206.57295  35.7%   100   21s
H 1655  1182                    7994.0000000 5206.57295  34.9%   102   22s
  1834  1247 6814.05788   32   74 7994.00000 5207.97979  34.9%   110   25s
H 1842  1190                    6411.0007786 5207.97979  18.8%   110   25s
  2288  1249 infeasible   34      6411.00078 5257.83777  18.0%   124   30s
  3461  1376 infeasible   39      6411.00078 5281.04065  17.6%   137   35s
  4967  1534 6244.73575   43  111 6411.00078 5330.19251  16.9%   143   40s
  6477  2196 6123.74345   31  169 6411.00078 5376.30301  16.1%   147   45s
  7984  2748 6032.76498   31  152 6411.00078 5440.03606  15.1%   148   50s
  9447  3243     cutoff   29      6411.00078 5526.77178  13.8%   147   55s
 11094  3922 6199.06525   33   64 6411.00078 5834.49662  8.99%   146   60s
H11392  3764                    6311.0000756 5836.07041  7.53%   145   60s
 12313  4140 6082.73890   30   89 6311.00008 5854.20427  7.24%   145   65s
 13830  4558 6195.31584   33  111 6311.00008 5872.73939  6.94%   144   70s
 15816  5042 6194.97703   31   92 6311.00008 5893.64015  6.61%   142   76s
 16948  5236 infeasible   42      6311.00008 5900.70159  6.50%   142   80s
 17702  5258 6123.08563   36  188 6311.00008 5906.66936  6.41%   141   85s
H18062  5057                    6311.0000746 5906.66936  6.41%   142   88s
 18494  5113 6067.30562   58   99 6311.00007 5906.66936  6.41%   143   90s
 20098  5212 6201.44214   48  109 6311.00007 5906.66936  6.41%   144   95s
 21592  5324 6236.27269   47  154 6311.00007 5906.66936  6.41%   145  100s
 22497  5393 6093.04691   45  201 6311.00007 5906.66936  6.41%   146  105s
 23736  5415 6066.20686   49   55 6311.00007 5906.66936  6.41%   146  110s
 26661  5359 6076.47805   40  152 6311.00007 5906.66936  6.41%   144  115s
 29190  5231 infeasible   52      6311.00007 5906.66936  6.41%   143  120s
 31628  4990 6227.83516   45  119 6311.00007 5914.30079  6.29%   142  125s
 34480  5179     cutoff   56      6311.00007 5930.70838  6.03%   141  131s
 36937  5459 6024.33958   52   55 6311.00007 5942.24641  5.84%   140  136s
 37779  5698 6249.00333   52   94 6311.00007 5944.66042  5.80%   140  140s
 40875  6019 6039.25751   48  128 6311.00007 5958.62115  5.58%   139  147s
 41485  6165 6182.49845   51  120 6311.00007 5961.06058  5.54%   139  150s
 43783  6490 6144.00410   38   67 6311.00007 5970.26598  5.40%   138  155s
 46254  6810 6062.94539   45  217 6311.00007 5980.43432  5.24%   138  162s
 48843  7069 6293.96111   52  136 6311.00007 5989.17106  5.10%   137  166s
 51355  7361 6179.35022   48  118 6311.00007 5996.79514  4.98%   137  172s
 52605  7462 6039.58654   59  177 6311.00007 6000.85207  4.91%   137  175s
 54652  7699     cutoff   48      6311.00007 6007.00511  4.82%   137  184s
 56885  7783 infeasible   55      6311.00007 6015.75000  4.68%   136  187s
 58208  7788 infeasible   52      6311.00007 6019.93204  4.61%   136  190s
 59811  7869 6283.65027   53  134 6311.00007 6024.99327  4.53%   136  197s
 62766  7902 6096.00229   40  136 6311.00007 6034.41139  4.38%   135  203s
 64140  7912 6155.51470   50  130 6311.00007 6037.04578  4.34%   135  206s
 66407  7885 infeasible   54      6311.00007 6041.68532  4.27%   135  212s
 67632  7884 infeasible   55      6311.00007 6042.13846  4.26%   135  215s
 70354  7906     cutoff   41      6311.00007 6052.01618  4.10%   134  222s
 70544  7893 infeasible   42      6311.00007 6052.84563  4.09%   134  225s
 73250  7910 6257.27297   55   84 6311.00007 6059.99777  3.98%   134  231s
 75999  7883 6104.61841   43  173 6311.00007 6066.24724  3.88%   134  236s
 78333  7731 6306.99488   46   90 6311.00007 6073.31187  3.77%   134  242s
 79558  7644 6120.00893   45  161 6311.00007 6076.43389  3.72%   134  245s
 81694  7576 6306.03446   54   75 6311.00007 6081.04207  3.64%   134  250s
 84249  7466 6193.82847   49  136 6311.00007 6088.02631  3.53%   134  256s
 86784  7343 6258.47920   55  138 6311.00007 6095.18232  3.42%   134  262s
 88095  7259 6231.76904   53  132 6311.00007 6097.93047  3.38%   134  265s
 90286  7023 infeasible   41      6311.00007 6104.08660  3.28%   134  271s
 92838  6732 infeasible   47      6311.00007 6111.73458  3.16%   134  276s
 94991  6464 6184.20211   61  169 6311.00007 6115.91510  3.09%   134  282s
 97500  6101 6230.29514   48  113 6311.00007 6125.54751  2.94%   134  286s
 100071  5807 6221.85296   44  121 6311.00007 6133.48128  2.81%   134  292s
 100702  5570     cutoff   55      6311.00007 6134.66704  2.79%   134  295s
 102796  5168     cutoff   49      6311.00007 6141.81769  2.68%   133  301s
 105522  4579 6185.35940   52  128 6311.00007 6151.56279  2.53%   133  307s
 106900  4212     cutoff   46      6311.00007 6156.30957  2.45%   133  310s
 109531  3487 6190.47819   40  153 6311.00007 6166.56571  2.29%   133  315s
 112293  2870 6285.00476   47  101 6311.00007 6182.75794  2.03%   133  321s
 113891  1865     cutoff   48      6311.00007 6189.89725  1.92%   133  327s
 115273  1214 infeasible   57      6311.00007 6204.15099  1.69%   133  330s

Cutting planes:
  Learned: 156
  Gomory: 7
  Cover: 255
  Clique: 5
  MIR: 230
  StrongCG: 9
  Flow cover: 314
  Inf proof: 33
  Zero half: 2
  Network: 12
  RLT: 9
  Relax-and-lift: 8

Explored 117835 nodes (15651895 simplex iterations) in 333.93 seconds (143.61 work units)
Thread count was 12 (of 12 available processors)

Solution count 10: 6311 6411 7994 ... 11631

Optimal solution found (tolerance 1.00e-02)
Best objective 6.311000074580e+03, best bound 6.253000000000e+03, gap 0.9190%
