
Gurobi 12.0.0 (win64) logging started Sun Jan 25 21:16:54 2026

Set parameter LogFile to value "Storage_orig/Logs/log_____________2026_01_25_21_16_54.log"
Set parameter MIPGap to value 0.01
Set parameter OutputFlag to value 1
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (win64 - Windows 11.0 (26100.2))

CPU model: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads

Non-default parameters:
MIPGap  0.01
MIPFocus  1

Optimize a model with 16100 rows, 2280 columns and 42808 nonzeros
Model fingerprint: 0x4ca9d1db
Variable types: 40 continuous, 2240 integer (1360 binary)
Coefficient statistics:
  Matrix range     [2e-01, 2e+02]
  Objective range  [1e+01, 4e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+02]
Found heuristic solution: objective 30880.000000
Presolve removed 12968 rows and 356 columns
Presolve time: 0.06s
Presolved: 3132 rows, 1924 columns, 21172 nonzeros
Variable types: 40 continuous, 1884 integer (1160 binary)

Root relaxation: objective 6.492443e+03, 2245 iterations, 0.10 seconds (0.09 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

H    0     0                    15761.000000 7144.35058  54.7%     -    4s
H    0     2                    15725.000000 7144.35058  54.6%     -    4s
     0     2 7144.35058    0  369 15725.0000 7144.35058  54.6%     -    4s
H   10    14                    15621.000000 7148.80346  54.2%   618    4s
    13    25 7156.46603    4  312 15621.0000 7154.81645  54.2%   630    5s
H   32    37                    15525.000000 7154.81645  53.9%   420    5s
H   73    76                    15426.000000 7154.81645  53.6%   276    6s
H   74    76                    14705.000000 7154.81645  51.3%   274    6s
H  109   115                    14666.000000 7154.81645  51.2%   269    7s
H  109   115                    14285.000000 7154.81645  49.9%   269    7s
H  141   146                    14106.000000 7154.81645  49.3%   249    7s
   192   191 infeasible   35      14106.0000 7154.81645  49.3%   245   10s
H  219   207                    13927.000000 7154.81645  48.6%   237   11s
H  255   240                    13787.000000 7154.81645  48.1%   240   14s
   291   270 10455.8110   45  149 13787.0000 7154.81645  48.1%   235   15s
H  306   283                    13647.000000 7154.81645  47.6%   232   15s
H  400   347                    13546.000000 7155.76253  47.2%   210   18s
   423   368 8134.50970   15   84 13546.0000 7155.76253  47.2%   208   20s
H  446   383                    13524.000000 7156.46603  47.1%   205   21s
   595   534 8356.72085   33  128 13524.0000 7156.46603  47.1%   189   25s
