
Gurobi 12.0.0 (win64) logging started Sun Jan 25 21:10:54 2026

Set parameter LogFile to value "Storage_orig/Logs/log_____________2026_01_25_21_10_54.log"
Set parameter MIPGap to value 0.01
Set parameter OutputFlag to value 1
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (win64 - Windows 11.0 (26100.2))

CPU model: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads

Non-default parameters:
MIPGap  0.01
MIPFocus  1

Optimize a model with 16080 rows, 2280 columns and 42768 nonzeros
Model fingerprint: 0xe5275702
Variable types: 40 continuous, 2240 integer (1360 binary)
Coefficient statistics:
  Matrix range     [2e-01, 2e+02]
  Objective range  [1e+01, 4e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+02]
Found heuristic solution: objective 30940.000000
Presolve removed 12936 rows and 356 columns
Presolve time: 0.04s
Presolved: 3144 rows, 1924 columns, 21256 nonzeros
Variable types: 40 continuous, 1884 integer (1160 binary)

Root relaxation: objective 6.876980e+03, 2422 iterations, 0.07 seconds (0.08 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

H    0     0                    14121.000000 7498.29090  46.9%     -    6s
     0     2 7498.29090    0  421 14121.0000 7498.29090  46.9%     -    7s
H   34    37                    14061.000000 7508.21217  46.6%   606    8s
H   81    83                    13581.000000 7508.21217  44.7%   492    9s
H  119   130                    13485.000000 7508.21217  44.3%   391    9s
   153   158 7812.68175   24  143 13485.0000 7508.21217  44.3%   334   10s
H  235   229                    13123.000000 7508.21217  42.8%   252   10s
H  266   262                    13084.000000 7508.21217  42.6%   236   11s
H  355   349                    13064.000000 7508.21217  42.5%   197   11s
H  401   396                    13004.000000 7508.21217  42.3%   187   12s
H  565   556                    12944.000000 7508.74491  42.0%   158   14s
   613   599 8292.77631   86  114 12944.0000 7508.74491  42.0%   154   15s
H  615   599                    12884.000000 7508.74491  41.7%   153   15s
H  809   767                    12858.000000 7508.74491  41.6%   142   16s
H 1010   917                    12715.000000 7509.83539  40.9%   132   18s
  1320  1187 8184.54961   66  177 12715.0000 7509.83539  40.9%   131   20s
  1362  1219 7914.19354   28  419 12715.0000 7509.83539  40.9%   130   25s
H 1404  1183                    12623.000000 7523.30603  40.4%   126   32s
  1440  1214 7528.98488   19  455 12623.0000 7527.55735  40.4%   157   35s
H 1612  1266                    12597.000000 7527.55735  40.2%   174   38s
  1668  1302 7941.52269   33  196 12597.0000 7527.55735  40.2%   179   40s
  1858  1445 8120.06452   52  216 12597.0000 7527.55735  40.2%   181   45s
  2258  1622 infeasible   84      12597.0000 7528.18596  40.2%   202   50s
  2505  1839 7532.66821   22  619 12597.0000 7528.18596  40.2%   209   55s
H 2682  1805                    12558.000000 7528.18596  40.1%   210   55s
H 2752  1747                    12457.000000 7528.18596  39.6%   215   58s
  2927  1956 8141.45714   42  151 12457.0000 7528.18596  39.6%   216   60s
H 3070  1871                    12418.000000 7528.18596  39.4%   216   63s
  3171  1998 8510.81396   52  232 12418.0000 7528.98943  39.4%   220   65s
H 3531  2047                    12278.000000 7528.98943  38.7%   214   66s
  3837  2165 7962.04258   33  264 12278.0000 7530.28710  38.7%   215   70s
  4131  2301 7564.60865   25  456 12278.0000 7530.51144  38.7%   219   75s
  4453  2567 8476.70283   58  285 12278.0000 7531.80806  38.7%   222   80s
  4920  3022 10083.3364  144  132 12278.0000 7531.97042  38.7%   219   85s
  5311  3307 7586.25095   25  398 12278.0000 7532.05177  38.7%   224   90s
  5585  3600 8211.03641   61  226 12278.0000 7532.05177  38.7%   226   95s
  6044  3938 infeasible   62      12278.0000 7532.90474  38.6%   226  101s
  6374  4269 7927.10854   31  243 12278.0000 7532.90474  38.6%   231  105s
  6885  4414 8376.11942   62  258 12278.0000 7533.56630  38.6%   232  112s
  6991  4602 8573.38997   73  225 12278.0000 7536.91365  38.6%   233  117s
  7308  4855 10137.1143   27  224 12278.0000 7537.53150  38.6%   237  122s
  7698  5089 10919.5083   57  407 12278.0000 7538.28177  38.6%   241  127s
  7853  5104 infeasible   67      12278.0000 7538.60486  38.6%   244  130s
  8133  5570 8043.66435   49  149 12278.0000 7538.60486  38.6%   245  136s
  8486  5582 8161.33830   47  210 12278.0000 7539.03818  38.6%   245  142s
  8492  5588 8161.33843   48  208 12278.0000 7539.03818  38.6%   245  146s
  8504  5707 8161.49447   50  209 12278.0000 7539.03818  38.6%   245  153s
  8633  5976 8901.28155   90  151 12278.0000 7539.26658  38.6%   244  156s
  9407  6547 8383.79820   54  224 12278.0000 7540.53456  38.6%   244  163s
  9779  6826 7597.80436   30  601 12278.0000 7540.55540  38.6%   246  166s
 10130  7104 9500.46515   74  172 12278.0000 7541.68965  38.6%   247  170s
 10859  7656 9851.14103  102  197 12278.0000 7542.13792  38.6%   254  177s
 11254  8135 8129.49084   50  161 12278.0000 7542.28486  38.6%   254  181s
 11807  8895 8441.19104  107  179 12278.0000 7542.92198  38.6%   253  186s
 12725  8899 8471.79274   40  194 12278.0000 7542.98065  38.6%   245  192s
 12733 10554 8510.41608   41  212 12278.0000 7542.98065  38.6%   245  217s
 15001 11206 7890.79698   28  541 12278.0000 7544.53239  38.6%   247  223s
 15859 11658 8690.06466   79  205 12278.0000 7544.80368  38.6%   245  230s
 16510 12531 9977.20922   55  156 12278.0000 7545.07761  38.5%   245  236s
 17619 12758 9788.48677  164  176 12278.0000 7545.14449  38.5%   241  242s
 18052 13195 7549.28836   28  584 12278.0000 7545.14935  38.5%   240  247s
 18618 13510 8532.30793   38  301 12278.0000 7545.14935  38.5%   241  252s
 19006 14122 8414.61640   41  214 12278.0000 7545.14935  38.5%   241  258s

Cutting planes:
  Learned: 11
  Gomory: 3
  Cover: 536
  MIR: 351
  StrongCG: 23
  Flow cover: 381
  GUB cover: 1
  Zero half: 1
  Network: 8
  RLT: 21
  Relax-and-lift: 26

Explored 19731 nodes (4782219 simplex iterations) in 258.78 seconds (242.54 work units)
Thread count was 12 (of 12 available processors)

Solution count 10: 12278 12418 12457 ... 12944

Solve interrupted
Best objective 1.227800000000e+04, best bound 7.546000000000e+03, gap 38.5405%
