
Gurobi 12.0.0 (win64) logging started Sun Jan 25 21:22:02 2026

Set parameter LogFile to value "Storage_orig/Logs/log_____________2026_01_25_21_22_02.log"
Set parameter MIPGap to value 0.01
Set parameter OutputFlag to value 1
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (win64 - Windows 11.0 (26100.2))

CPU model: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads

Non-default parameters:
MIPGap  0.01
MIPFocus  1

Optimize a model with 16100 rows, 2280 columns and 42808 nonzeros
Model fingerprint: 0x0217749b
Variable types: 40 continuous, 2240 integer (1360 binary)
Coefficient statistics:
  Matrix range     [2e-01, 2e+02]
  Objective range  [1e+01, 4e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+02]
Found heuristic solution: objective 30880.000000
Presolve removed 12968 rows and 356 columns
Presolve time: 0.09s
Presolved: 3132 rows, 1924 columns, 21172 nonzeros
Variable types: 40 continuous, 1884 integer (1160 binary)

Root relaxation: objective 6.492443e+03, 2400 iterations, 0.16 seconds (0.09 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 151380 102672 8210.67292   90   93 8295.00000 7183.34093  13.4%   148 1070s
 152598 103623 7224.40000   44  126 8295.00000 7183.38173  13.4%   148 1076s
 153869 104265 7884.97832   50  322 8295.00000 7183.42302  13.4%   148 1083s
 154462 104901 infeasible   93      8295.00000 7183.43539  13.4%   148 1087s
 155357 105377 7798.58333   31  138 8295.00000 7183.46619  13.4%   148 1090s
 156682 106546 7928.48033   53  161 8295.00000 7183.50257  13.4%   148 1097s
 157680 106900 7804.36649   28   59 8295.00000 7183.54484  13.4%   147 1100s
 158784 107574 infeasible   70      8295.00000 7183.56773  13.4%   147 1105s
 159679 108287     cutoff   72      8295.00000 7183.61546  13.4%   147 1111s
 160692 109079 7793.73998   31  160 8295.00000 7183.65567  13.4%   147 1117s
 161347 109545 8168.54202   63  159 8295.00000 7183.67399  13.4%   147 1120s
 162886 110712 7795.95297   29  163 8295.00000 7183.75964  13.4%   147 1126s
 163954 111071 7227.99569   45  133 8295.00000 7183.79041  13.4%   147 1132s
 164055 111402 7578.84773   48  103 8295.00000 7183.80206  13.4%   147 1135s
 165118 112188 8089.13612   81  120 8295.00000 7183.87092  13.4%   147 1141s
 166296 112951 7809.07717   33  188 8295.00000 7183.94555  13.4%   147 1147s
 166836 113436 8062.34932   39  113 8295.00000 7183.97994  13.4%   147 1151s
 168134 113882 infeasible   50      8295.00000 7184.05605  13.4%   147 1158s
H168290 107734                    8220.0000000 7184.05605  12.6%   147 1158s
 168297 108183 7817.32706   29  119 8220.00000 7184.08046  12.6%   147 1162s
 168976 108624 7943.33904   42  311 8220.00000 7184.14876  12.6%   147 1165s
 170307 109699 8132.42375   58   31 8220.00000 7184.21550  12.6%   148 1172s
 171068 110187 8022.96978   54   59 8220.00000 7184.22065  12.6%   148 1176s
 172530 111288 7588.00000   50   97 8220.00000 7184.30102  12.6%   148 1182s
 173321 111763 8130.68036   60  243 8220.00000 7184.33937  12.6%   148 1185s
 174974 112508 7829.29597   45  334 8220.00000 7184.39110  12.6%   147 1192s
 175742 113390 7224.85714   47  167 8220.00000 7184.43431  12.6%   147 1197s
 176474 113676 7801.22267   40   83 8220.00000 7184.47902  12.6%   147 1201s
 177317 114446 infeasible   54      8220.00000 7184.52529  12.6%   147 1207s
 177919 114787 8007.03751   61   19 8220.00000 7184.55596  12.6%   147 1210s
 179150 115644 8091.51893   76  112 8220.00000 7184.67204  12.6%   147 1216s
 179652 116218 7199.64864   30  400 8220.00000 7184.69274  12.6%   147 1220s
 180955 116923 7230.61024   42  271 8220.00000 7184.81112  12.6%   147 1226s
 182080 117609 8008.42671   51  117 8220.00000 7184.85492  12.6%   147 1233s
 182686 118114 7198.53031   37  328 8220.00000 7184.92622  12.6%   147 1236s
 184054 118980 7798.06897   29  104 8220.00000 7185.02213  12.6%   147 1242s
 184804 119361 7795.44444   36  102 8220.00000 7185.08310  12.6%   147 1245s
 185794 119982 7588.19531   58  106 8220.00000 7185.17037  12.6%   147 1252s
 186330 120597 7937.79274   56   53 8220.00000 7185.21815  12.6%   147 1255s
 187737 121595 7943.11193   31  150 8220.00000 7185.27972  12.6%   147 1261s
 189124 122305 8163.60000   56   46 8220.00000 7185.39606  12.6%   147 1267s
H189572 120455                    8203.0000000 7185.40387  12.4%   147 1267s
 189656 120756 infeasible   56      8203.00000 7185.44806  12.4%   147 1270s
 190689 121522 7201.62069   30  170 8203.00000 7185.54375  12.4%   147 1277s
 191214 121847 8142.00000   63   40 8203.00000 7185.56136  12.4%   147 1280s
 192360 122927 7208.27343   33  396 8203.00000 7185.63870  12.4%   147 1287s
 193136 123340 7924.36765   40  141 8203.00000 7185.67443  12.4%   147 1291s
 194631 124350 7795.23810   34   77 8203.00000 7185.67604  12.4%   147 1296s
 195932 125330 7903.11667   37   55 8203.00000 7185.67604  12.4%   147 1302s
 197238 126097 7799.80952   29  119 8203.00000 7185.67604  12.4%   146 1307s
 198353 126934 8088.56866   55  226 8203.00000 7185.67604  12.4%   146 1312s
 199537 127794 7823.53499   29   98 8203.00000 7185.67604  12.4%   146 1317s
 200597 128578 8054.09622   58  219 8203.00000 7185.67604  12.4%   146 1322s
 201039 128814 7852.54206   37   78 8203.00000 7185.67604  12.4%   146 1325s
 201811 129393 7953.95322   45  210 8203.00000 7185.67604  12.4%   146 1330s
 202839 130045 7920.51816   43  197 8203.00000 7185.67604  12.4%   146 1336s
 203761 130646     cutoff   58      8203.00000 7185.67604  12.4%   146 1342s
 204284 131003 7793.95238   28   70 8203.00000 7185.67604  12.4%   146 1345s
 205081 131775 7522.05735   43  225 8203.00000 7185.67604  12.4%   146 1352s
 205953 132174 7797.22209   35  179 8203.00000 7185.67604  12.4%   146 1355s
 207208 133011     cutoff   43      8203.00000 7185.72969  12.4%   146 1360s
 208512 133936 7799.74272   36  195 8203.00000 7185.91231  12.4%   146 1366s
 209479 134712 infeasible   50      8203.00000 7185.96574  12.4%   146 1371s
 210418 134964 8015.12586   58  231 8203.00000 7185.99984  12.4%   146 1377s
 210435 135321 8103.00949   67  339 8203.00000 7186.00086  12.4%   146 1380s
 211775 136193 8127.86299   86  140 8203.00000 7186.05933  12.4%   146 1386s
 212902 136987 7810.48149   30  201 8203.00000 7186.17451  12.4%   146 1391s
 213918 137392     cutoff   59      8203.00000 7186.19667  12.4%   146 1398s
 213928 137607 8148.93995   58  304 8203.00000 7186.20810  12.4%   146 1401s
 214478 138128 7991.97762   82  216 8203.00000 7186.23983  12.4%   146 1407s
 214960 138680 7903.52531   39  193 8203.00000 7186.28185  12.4%   146 1410s
 216174 139154 8174.92282   42  204 8203.00000 7186.36253  12.4%   146 1417s
 216473 139431 7214.29767   41  189 8203.00000 7186.38360  12.4%   146 1420s
 217457 140351 7187.45131   31  474 8203.00000 7186.38626  12.4%   146 1427s
 218191 140708 7975.80614   44  389 8203.00000 7186.48038  12.4%   146 1431s
 218693 141043 7850.15247   35  267 8203.00000 7186.49162  12.4%   146 1435s
 219130 141666 8032.50000   36   77 8203.00000 7186.49162  12.4%   146 1440s
 220852 142494 7803.68677   27  165 8203.00000 7186.61160  12.4%   146 1447s
 221474 142923 7799.35162   29  139 8203.00000 7186.63222  12.4%   146 1451s
 222062 142947 7896.62857   60   66 8203.00000 7186.63963  12.4%   146 1455s
 222741 144022 7832.76043   65  162 8203.00000 7186.68403  12.4%   146 1463s
 223644 144613 7799.00000   33   69 8203.00000 7186.72905  12.4%   146 1467s
 224506 144884 7931.70000   45  116 8203.00000 7186.77421  12.4%   146 1470s
 225693 145911 7223.38462   39  193 8203.00000 7186.83142  12.4%   146 1477s
 226441 145915 infeasible   45      8203.00000 7186.87357  12.4%   146 1481s
 226638 146578 7907.29502   39  207 8203.00000 7186.87691  12.4%   146 1488s
 227403 147270 7795.00000   35   12 8203.00000 7186.96170  12.4%   146 1491s
 228994 148157 7216.13416   33  254 8203.00000 7187.09057  12.4%   146 1497s
 229583 148402 7228.74495   39  164 8203.00000 7187.10657  12.4%   146 1501s
 229981 148871 8025.13546   58  233 8203.00000 7187.10657  12.4%   146 1505s
 231474 149593 7797.36282   28  144 8203.00000 7187.29103  12.4%   146 1512s
 231754 149841     cutoff   50      8203.00000 7187.31186  12.4%   146 1516s
 232112 149909 7618.08300   57  270 8203.00000 7187.31186  12.4%   146 1521s
 232210 150521 7646.92707   58  269 8203.00000 7187.33020  12.4%   146 1525s
 234157 151792 7804.40770   38  236 8203.00000 7187.47308  12.4%   146 1533s
 234912 152180 7197.41222   36  487 8203.00000 7187.52097  12.4%   146 1536s
 236246 153162     cutoff   42      8203.00000 7187.56885  12.4%   146 1542s
 236942 153165 7859.46638   34  166 8203.00000 7187.60944  12.4%   146 1546s
 237417 153804 7902.31261   70  100 8203.00000 7187.63926  12.4%   146 1552s
 237904 154232 7893.00000   41   13 8203.00000 7187.66286  12.4%   146 1555s
 238997 155078 7978.51525   37  356 8203.00000 7187.72469  12.4%   146 1562s
 239705 155462 7194.78899   31  201 8203.00000 7187.78392  12.4%   146 1565s
 241034 156033 7957.96497   41  376 8203.00000 7187.82866  12.4%   146 1572s
 241041 156035     cutoff   42      8203.00000 7187.83074  12.4%   146 1576s
 241051 156041 7960.18229   43  271 8203.00000 7187.83074  12.4%   146 1583s
 241057 156082 7961.54826   44  270 8203.00000 7187.83074  12.4%   146 1586s
 241270 156590 7964.79616   46  272 8203.00000 7187.83591  12.4%   146 1593s
 241849 156958 7811.60248   30  147 8203.00000 7187.89312  12.4%   146 1597s
 242366 157319 7242.77139   42  347 8203.00000 7187.94782  12.4%   146 1600s
 243494 158276 7821.97391   34  190 8203.00000 7188.01994  12.4%   146 1608s
 244233 158708     cutoff   53      8203.00000 7188.04869  12.4%   146 1611s
 245295 159660 infeasible   50      8203.00000 7188.09710  12.4%   146 1617s
 246212 160042 infeasible   70      8203.00000 7188.22537  12.4%   146 1620s
 247423 160822 8068.51281   49   78 8203.00000 7188.30472  12.4%   146 1626s
 248173 161476 7201.07692   30  199 8203.00000 7188.35673  12.4%   147 1632s
 248706 161885 7204.70811   31  444 8203.00000 7188.37440  12.4%   147 1635s
 249852 162896 7236.80000   49  166 8203.00000 7188.49050  12.4%   147 1642s
 250705 163335 7198.30686   35  283 8203.00000 7188.55559  12.4%   147 1645s
 251921 164429 7587.59830   53  141 8203.00000 7188.59457  12.4%   147 1651s
 253275 165277 7230.64848   43  181 8203.00000 7188.68185  12.4%   147 1657s
 253925 165711 7199.38909   33  318 8203.00000 7188.71619  12.4%   147 1660s
 255211 166537 7201.28065   24  266 8203.00000 7188.77547  12.4%   147 1667s
 255692 167008 7235.95888   42  223 8203.00000 7188.80775  12.4%   147 1670s
 256777 167951 8044.50667  104   95 8203.00000 7188.84309  12.4%   147 1679s
 257713 168100 7195.55172   36  187 8203.00000 7188.91603  12.4%   147 1683s
 257922 168759 7585.40000   55   67 8203.00000 7188.91603  12.4%   147 1687s
 258858 169305 7217.01047   45  230 8203.00000 7189.00329  12.4%   147 1691s
 260440 170432 7225.71613   45  273 8203.00000 7189.07063  12.4%   147 1699s
 261347 170471 7856.04558   44  144 8203.00000 7189.11470  12.4%   147 1702s
 261404 170735 7876.75425   45  133 8203.00000 7189.11470  12.4%   147 1705s
 262397 171447 7852.32444   38  255 8203.00000 7189.17420  12.4%   147 1712s
 262916 171798 7806.00000   34    6 8203.00000 7189.22215  12.4%   147 1716s
 264192 172586 7595.78680   53  182 8203.00000 7189.32751  12.4%   147 1722s
 264574 172591 7205.48471   33  496 8203.00000 7189.32751  12.4%   147 1726s
 264581 172852 7211.65544   34  485 8203.00000 7189.32751  12.4%   147 1730s
 265557 173519 7204.84769   28  370 8203.00000 7189.44309  12.4%   147 1736s
 265984 173651 8015.85533   49  274 8203.00000 7189.45645  12.4%   147 1741s
 266194 173952 8055.07886   60  332 8203.00000 7189.46408  12.4%   147 1745s
 267352 174985 7193.79503   35  527 8203.00000 7189.52827  12.4%   147 1752s
 268035 175497 7910.30833   60   39 8203.00000 7189.55020  12.4%   147 1756s
 268757 175554 7858.75587   46  291 8203.00000 7189.58505  12.4%   147 1760s
 269413 176474 7194.26639   34  451 8203.00000 7189.63455  12.4%   147 1768s
 270150 176880 7811.10612   83  139 8203.00000 7189.68367  12.4%   147 1771s
 271665 177908 7961.59128   60  176 8203.00000 7189.75207  12.4%   147 1776s
 272690 178330 7963.65000   40   90 8203.00000 7189.82784  12.4%   147 1782s
 272697 178555 8003.10850   41   29 8203.00000 7189.82784  12.4%   147 1785s
 273441 179285 7575.47424   42  123 8203.00000 7189.84016  12.4%   147 1792s
 273959 179714 7818.88326   42  137 8203.00000 7189.93695  12.3%   148 1795s
 274972 180383 7586.98491   57  113 8203.00000 7190.00916  12.3%   148 1802s
 275513 180920 7200.94206   38  432 8203.00000 7190.04027  12.3%   148 1805s
 276882 181323 8074.43277   51   42 8203.00000 7190.09880  12.3%   148 1812s
 276888 181465     cutoff   52      8203.00000 7190.09880  12.3%   148 1815s
 277666 182478 7194.24235   34  449 8203.00000 7190.17465  12.3%   148 1823s
 278576 182813 7283.27273   38  189 8203.00000 7190.19748  12.3%   148 1826s
 279069 183184 infeasible   80      8203.00000 7190.19748  12.3%   148 1830s
 280142 183959 7807.10153   27  141 8203.00000 7190.31226  12.3%   148 1837s
 280741 184515 8199.62965   66  128 8203.00000 7190.34058  12.3%   148 1840s
 282052 185260 8058.29175   43  196 8203.00000 7190.39556  12.3%   148 1847s
 282570 185420 7219.92891   35  284 8203.00000 7190.46130  12.3%   148 1851s
 282796 186149 7221.31589   39  292 8203.00000 7190.46130  12.3%   148 1857s
 283786 186718 7206.35354   36  490 8203.00000 7190.55492  12.3%   148 1861s
 284573 187294 7950.65177   61  218 8203.00000 7190.57098  12.3%   148 1865s
 286145 188385 7614.54946   66  219 8203.00000 7190.66660  12.3%   148 1873s
 286996 188822 7571.72000   45   56 8203.00000 7190.73237  12.3%   148 1876s
 287692 188842 7233.75455   52  132 8203.00000 7190.78186  12.3%   148 1880s
 288027 189492 7209.90857   35  410 8203.00000 7190.82786  12.3%   148 1887s
 288655 189999 7846.24454   40  239 8203.00000 7190.87372  12.3%   148 1891s
 289337 190541 8116.55227   56  127 8203.00000 7190.90252  12.3%   148 1895s
 290539 191001 8048.51984   45  173 8203.00000 7190.96657  12.3%   148 1904s
 290887 191280 7806.12400   38   23 8203.00000 7190.97450  12.3%   148 1908s
 291353 191286 8155.49527   53  287 8203.00000 7191.03614  12.3%   148 1912s
 291359 191440 8161.42500   54  278 8203.00000 7191.03614  12.3%   148 1916s
 291608 191818 7213.76636   36  477 8203.00000 7191.03614  12.3%   148 1920s
 292793 192861 7575.42652   46  123 8203.00000 7191.13558  12.3%   148 1928s
 293524 193373 7822.33296   47  140 8203.00000 7191.19995  12.3%   148 1932s
 294254 193604 8131.68037   82  108 8203.00000 7191.24364  12.3%   148 1936s
 294616 193987 8066.23529   57   15 8203.00000 7191.25135  12.3%   148 1940s
 295885 194989 7907.53401   50  148 8203.00000 7191.43333  12.3%   148 1948s
 296630 195501 7217.74762   40  325 8203.00000 7191.49710  12.3%   148 1951s
 297319 195507 8159.24494   61  350 8203.00000 7191.50040  12.3%   149 1956s
 297333 195515     cutoff   63      8203.00000 7191.50040  12.3%   149 1963s
H297334 195180                    8200.0000000 7191.50040  12.3%   149 1963s
 297340 195415     cutoff   64      8200.00000 7191.51673  12.3%   149 1967s
 297740 195819 7297.20755   37  413 8200.00000 7191.56424  12.3%   149 1970s
 299036 196761 8067.34893   67  306 8200.00000 7191.67361  12.3%   149 1977s
 299747 197162 infeasible   43      8200.00000 7191.75117  12.3%   149 1980s
 301012 198021 7965.11986   76  120 8200.00000 7191.86453  12.3%   149 1987s
 301663 198462 7598.39118   47  161 8200.00000 7191.91638  12.3%   149 1990s
 303024 199306 8156.58026   55  306 8200.00000 7191.98453  12.3%   149 1997s
 303515 199785 8097.28291   45  269 8200.00000 7191.98712  12.3%   149 2001s
 304174 199981 7983.02964   44  326 8200.00000 7192.00147  12.3%   149 2005s
 304920 200762 7926.28984   35   60 8200.00000 7192.01788  12.3%   149 2012s
 305641 201129 7952.09746   54  182 8200.00000 7192.03322  12.3%   149 2016s
 306994 202050 7587.17241   54   98 8200.00000 7192.10183  12.3%   149 2023s
 307483 202493 7806.55363   34   74 8200.00000 7192.13146  12.3%   149 2027s
 308214 202695 7213.63613   39  268 8200.00000 7192.15930  12.3%   149 2030s
 308640 202702 7812.17391   31  126 8200.00000 7192.15930  12.3%   149 2037s
 308646 202708 7812.17391   32   79 8200.00000 7192.15930  12.3%   149 2041s
 308652 202714 7813.28536   33  120 8200.00000 7192.15930  12.3%   149 2045s
 308914 203254 7907.61027   59  190 8200.00000 7192.15930  12.3%   149 2050s
H309288 183455                    8116.0000000 7192.15930  11.4%   149 2050s
 310013 184265 7907.00000   45  103 8116.00000 7192.24599  11.4%   149 2057s
 310838 184674 7810.15128   49  165 8116.00000 7192.31175  11.4%   149 2061s
 311463 185101 7815.46662   36  239 8116.00000 7192.37675  11.4%   149 2065s
 312766 185741 7226.48235   40  358 8116.00000 7192.41745  11.4%   149 2072s
 313216 186273 7811.21443   34  213 8116.00000 7192.44261  11.4%   149 2075s
 314655 187159 7591.07692   46  130 8116.00000 7192.48114  11.4%   149 2082s
 315195 187614 7206.24469   31  251 8116.00000 7192.54058  11.4%   149 2085s
 316475 188514 7241.18205   53  317 8116.00000 7192.64867  11.4%   149 2092s
 317284 188872 7805.00000   38   57 8116.00000 7192.71748  11.4%   149 2096s
 317834 189285 8029.91103   79  164 8116.00000 7192.73144  11.4%   149 2100s
 319055 190139 8002.51176   44  497 8116.00000 7192.82705  11.4%   149 2107s
 319696 190517 7241.92672   45  289 8116.00000 7192.89898  11.4%   149 2110s
 321021 191267 7866.73159   45  388 8116.00000 7193.00439  11.4%   149 2117s
 321491 191822 8099.57119   58  261 8116.00000 7193.08313  11.4%   149 2121s
 322792 192564 7493.66803   55  277 8116.00000 7193.19355  11.4%   149 2127s
 323510 192899 7799.32671   42  177 8116.00000 7193.19798  11.4%   149 2130s
 324508 193632 7906.99939   48  367 8116.00000 7193.27316  11.4%   149 2135s
 325118 193740 8081.16475   56  224 8116.00000 7193.29927  11.4%   149 2142s
 325287 194121 7585.60000   36   43 8116.00000 7193.29927  11.4%   149 2145s
 326397 194884 7828.94747   25  224 8116.00000 7193.39741  11.4%   149 2152s
 326997 195218 7827.53992   55  123 8116.00000 7193.40000  11.4%   149 2155s
 328400 196145 8090.55268   66  231 8116.00000 7193.50395  11.4%   149 2161s
 329609 197137 7200.49199   23  165 8116.00000 7193.60815  11.4%   149 2167s
 330358 197475 7844.80000   45  218 8116.00000 7193.63872  11.4%   149 2171s
 330947 197605 7790.82674   31  216 8116.00000 7193.70517  11.4%   149 2177s
 331139 197884 8027.26744   50  313 8116.00000 7193.70517  11.4%   149 2181s
 331513 198109 7800.87259   19  237 8116.00000 7193.71579  11.4%   149 2185s
 332343 198779 7198.00000   22  223 8116.00000 7193.71579  11.4%   149 2192s
 332944 199071 8031.54988   43  160 8116.00000 7193.74857  11.4%   150 2195s
 333386 199701 7980.33884   45   31 8116.00000 7193.78650  11.4%   150 2201s
 334397 199920 8068.94219   60   74 8116.00000 7193.83729  11.4%   150 2208s
 334744 200368 7924.05226   43  347 8116.00000 7193.84441  11.4%   150 2213s
 335477 200790 7948.55000   46  115 8116.00000 7193.87726  11.4%   150 2216s
 336124 201026 7870.32292   39  117 8116.00000 7193.90779  11.4%   150 2221s
 336532 201517 7910.34375   43   15 8116.00000 7193.93595  11.4%   150 2225s
 338176 202167 7823.46458   41   58 8116.00000 7194.00749  11.4%   150 2234s
 338635 202557 7584.00000   50  122 8116.00000 7194.01831  11.4%   150 2238s
 339263 202859 7805.03517   34  232 8116.00000 7194.03142  11.4%   150 2242s
 339755 202860 7208.24334   35  461 8116.00000 7194.08641  11.4%   150 2246s
 339766 203146 7209.90512   36  431 8116.00000 7194.08641  11.4%   150 2251s
 340170 203801 7601.85714   63   68 8116.00000 7194.09853  11.4%   150 2255s
 341713 204657 7925.79237   41  103 8116.00000 7194.18733  11.4%   150 2263s
 342389 205058 7883.05717   38  179 8116.00000 7194.24055  11.4%   150 2267s
 343015 205528 8069.17161   48  278 8116.00000 7194.28914  11.4%   150 2271s
 343812 205951 7217.46667   30  254 8116.00000 7194.32381  11.4%   150 2275s
 345157 206413 infeasible   80      8116.00000 7194.36268  11.4%   150 2283s
 345193 206645     cutoff   79      8116.00000 7194.37930  11.4%   150 2287s
 345603 206946 7925.87911   32   78 8116.00000 7194.39812  11.4%   150 2292s
 346090 207503     cutoff   44      8116.00000 7194.44159  11.4%   150 2297s
 347043 207797 8043.15122   45  380 8116.00000 7194.49917  11.4%   150 2301s
 348292 208752 7196.70577   32  423 8116.00000 7194.62996  11.4%   150 2308s
 348831 209148 7849.47368   40   64 8116.00000 7194.64881  11.4%   150 2313s
 349487 209154 7919.13016   34  122 8116.00000 7194.68430  11.4%   150 2317s
 349493 209351 7919.13016   34  120 8116.00000 7194.68430  11.4%   150 2321s
 349815 209789 infeasible   49      8116.00000 7194.69712  11.4%   150 2325s
 351096 210774 7867.05992   31  231 8116.00000 7194.77058  11.4%   150 2332s
 351960 211219     cutoff   75      8116.00000 7194.82702  11.4%   150 2336s
 352640 211794 7780.86749  102   74 8116.00000 7194.86597  11.3%   150 2340s
 354292 212727 7821.80622   28  282 8116.00000 7194.94441  11.3%   150 2347s
 354874 212978     cutoff   64      8116.00000 7194.97310  11.3%   150 2351s
 355379 213198 7952.06117   51  282 8116.00000 7195.00529  11.3%   150 2356s
 355703 213202 7217.61862   35  238 8116.00000 7195.00529  11.3%   150 2360s
 355811 213633 7230.93333   37  245 8116.00000 7195.02882  11.3%   150 2367s
 356374 213931 7833.27586   32  118 8116.00000 7195.06782  11.3%   150 2372s
 356821 214383 8055.62005   52  117 8116.00000 7195.09773  11.3%   150 2376s
 358191 215135 infeasible   58      8116.00000 7195.14142  11.3%   150 2384s
 358801 215701 8030.84918   39  285 8116.00000 7195.18769  11.3%   150 2388s
 359608 215989     cutoff   63      8116.00000 7195.23879  11.3%   150 2391s
 360164 216251 7198.84749   24  473 8116.00000 7195.28318  11.3%   150 2395s
 361077 216958 7957.66256   54  153 8116.00000 7195.33046  11.3%   150 2403s
 361798 216964 8088.09144   50  155 8116.00000 7195.37884  11.3%   150 2407s
 361804 217211 7804.25315   52  131 8116.00000 7195.37884  11.3%   150 2411s
 362238 217803 7869.88494   51  292 8116.00000 7195.41322  11.3%   150 2416s
 363098 218324 8035.78600  106  121 8116.00000 7195.47407  11.3%   150 2420s
 364674 219215 7279.81813   24  436 8116.00000 7195.53812  11.3%   150 2427s
 365150 219601 7202.50000   27  162 8116.00000 7195.53812  11.3%   150 2431s
 365733 219959 7215.19080   37  166 8116.00000 7195.58606  11.3%   150 2435s
 367137 220678 7954.93169   66  107 8116.00000 7195.63688  11.3%   150 2442s
 367410 220684 7806.15945   32   23 8116.00000 7195.65693  11.3%   150 2446s
 367673 221168 7805.07298   30  251 8116.00000 7195.67930  11.3%   150 2453s
 368204 221613 7933.22490   65  110 8116.00000 7195.68641  11.3%   150 2456s
 368913 221994 8066.35299   46  336 8116.00000 7195.71110  11.3%   150 2460s
 369990 222734 7910.02316   46  263 8116.00000 7195.77587  11.3%   150 2468s
 370649 223039 7854.87102   46  187 8116.00000 7195.85485  11.3%   150 2472s
 371084 223103 7961.41860   36    3 8116.00000 7195.85485  11.3%   150 2478s
 371205 225339 7805.30285   27  179 8116.00000 7195.88314  11.3%   150 2498s
 374830 225345 7924.33639   59  143 8116.00000 7196.09276  11.3%   151 2502s
 374836 225447 7949.27493   60   84 8116.00000 7196.09276  11.3%   151 2506s
 375709 226553 7602.14356   56  142 8116.00000 7196.14124  11.3%   150 2513s
 376506 227019 7910.64103   54  249 8116.00000 7196.16599  11.3%   150 2516s
 377226 227479     cutoff   67      8116.00000 7196.19110  11.3%   150 2520s
 378663 228333 7229.29324   41  333 8116.00000 7196.26597  11.3%   150 2527s
 379279 228730 7281.74352   35  515 8116.00000 7196.30592  11.3%   150 2531s
 380547 229578 8018.47950   67   63 8116.00000 7196.33410  11.3%   150 2538s
 381182 229584 7998.00819   50  122 8116.00000 7196.37367  11.3%   150 2541s
 381188 229807 7998.06192   51   29 8116.00000 7196.37367  11.3%   150 2545s
 381927 230464 7941.36614   40  158 8116.00000 7196.39430  11.3%   150 2552s
 382492 230839 7967.93419   49  135 8116.00000 7196.40000  11.3%   150 2555s
 383558 231457 7218.12822   41  290 8116.00000 7196.40000  11.3%   151 2563s
 384106 231938 infeasible   43      8116.00000 7196.42457  11.3%   151 2567s
 384844 232342 7234.84286   45  187 8116.00000 7196.44066  11.3%   151 2570s
 385536 232398 7938.01111   33   20 8116.00000 7196.44678  11.3%   151 2577s
 385593 232723     cutoff   36      8116.00000 7196.44678  11.3%   151 2581s
 386086 233119 7838.06780   35  141 8116.00000 7196.46728  11.3%   151 2585s
 387207 233753 8041.67038   45   48 8116.00000 7196.50881  11.3%   151 2592s
 387721 234157 7937.00000   57  112 8116.00000 7196.54117  11.3%   151 2596s
 388384 234622 7897.90000   44  117 8116.00000 7196.56954  11.3%   151 2601s
 389022 235118 7238.24718   38  208 8116.00000 7196.58517  11.3%   151 2605s
 390399 235850 7980.86696   57   37 8116.00000 7196.62820  11.3%   151 2613s
 390852 236268 7198.44506   25  368 8116.00000 7196.66393  11.3%   151 2617s
 391466 236274 7988.52504   46  276 8116.00000 7196.70000  11.3%   151 2620s
 391803 236970 7200.31818   31  164 8116.00000 7196.74004  11.3%   151 2627s
 392521 237438 7923.29512   35  154 8116.00000 7196.77666  11.3%   151 2631s
 394049 238315 8036.25592   63  183 8116.00000 7196.82576  11.3%   151 2638s
 394592 238862 7820.03574   39  181 8116.00000 7196.82839  11.3%   151 2642s
 395369 239250 7810.25204   35  177 8116.00000 7196.88000  11.3%   151 2645s
 396608 240246 7811.53767   33   78 8116.00000 7196.93039  11.3%   151 2653s
 397445 240251 7210.58000   40  342 8116.00000 7196.96675  11.3%   151 2655s
 397474 240367 7212.69588   42  315 8116.00000 7196.96675  11.3%   151 2662s
 397699 240646 infeasible   75      8116.00000 7196.98042  11.3%   151 2666s
 398135 241076 8057.52717   53  285 8116.00000 7197.00219  11.3%   151 2670s
 399680 242096 7822.08328   37  264 8116.00000 7197.06698  11.3%   151 2678s
 400418 242565 7817.88154   33  228 8116.00000 7197.09687  11.3%   151 2681s
 401061 243025 7823.03817   42  246 8116.00000 7197.12244  11.3%   151 2685s
 401704 243309 7218.35337   32  207 8116.00000 7197.14658  11.3%   151 2690s
 402747 244091 7795.00000   38   73 8116.00000 7197.18626  11.3%   151 2698s
 403421 244511 7936.89447   43  266 8116.00000 7197.21139  11.3%   151 2702s
 404082 244516 7809.44714   38  140 8116.00000 7197.24802  11.3%   151 2706s
 404089 244752 7820.94946   39  146 8116.00000 7197.24802  11.3%   151 2710s
 405254 245568 7957.10804   76  236 8116.00000 7197.27251  11.3%   151 2719s
 405643 246000 7832.79851   65   96 8116.00000 7197.28352  11.3%   151 2724s
 406322 246518 7877.24279   47  287 8116.00000 7197.33069  11.3%   151 2728s
 407125 246921     cutoff   70      8116.00000 7197.35737  11.3%   151 2731s
 407703 247325 7842.54600   42  126 8116.00000 7197.37283  11.3%   151 2735s
 409023 248329 7212.31310   38  350 8116.00000 7197.42521  11.3%   151 2743s
