
Gurobi 12.0.0 (win64) logging started Sun Jan 25 21:22:02 2026

Set parameter LogFile to value "Storage_orig/Logs/log_____________2026_01_25_21_22_02.log"
Set parameter MIPGap to value 0.01
Set parameter OutputFlag to value 1
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (win64 - Windows 11.0 (26100.2))

CPU model: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads

Non-default parameters:
MIPGap  0.01
MIPFocus  1

Optimize a model with 16100 rows, 2280 columns and 42808 nonzeros
Model fingerprint: 0x0217749b
Variable types: 40 continuous, 2240 integer (1360 binary)
Coefficient statistics:
  Matrix range     [2e-01, 2e+02]
  Objective range  [1e+01, 4e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+02]
Found heuristic solution: objective 30880.000000
Presolve removed 12968 rows and 356 columns
Presolve time: 0.09s
Presolved: 3132 rows, 1924 columns, 21172 nonzeros
Variable types: 40 continuous, 1884 integer (1160 binary)

Root relaxation: objective 6.492443e+03, 2400 iterations, 0.16 seconds (0.09 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

   647   526 7162.60777   13  187 8790.00000 7140.40428  18.8%   152   15s
H  726   579                    8751.0000000 7140.40428  18.4%   152   16s
H  825   627                    8611.0000000 7141.07293  17.1%   150   19s
   828   701 infeasible   36      8611.00000 7141.07293  17.1%   151   20s
  1512  1118 7814.38990   15  365 8611.00000 7141.91361  17.1%   129   25s
  1550  1143 8204.72528   43  406 8611.00000 7156.73081  16.9%   126   30s
  1574  1159 7822.85543   11  431 8611.00000 7169.35690  16.7%   124   35s
  1747  1283 7798.00000   27   57 8611.00000 7171.78180  16.7%   164   40s
  1949  1353 7183.96193   26  373 8611.00000 7171.81222  16.7%   180   45s
  2200  1448 8495.00000   41   54 8611.00000 7171.83871  16.7%   186   50s
  2432  1609 7814.93003   32  110 8611.00000 7171.83871  16.7%   192   55s
  2794  1739 8381.26244   54  127 8611.00000 7171.83871  16.7%   201   60s
  3368  1934 7607.15831   64  204 8611.00000 7172.90841  16.7%   201   65s
  3519  2066 8252.42384  126   65 8611.00000 7173.07909  16.7%   199   71s
  3986  2315 7689.41180   66  154 8611.00000 7173.14839  16.7%   200   75s
  4428  2522 7807.97312   25  320 8611.00000 7174.08122  16.7%   196   80s
  4920  2681 7177.33539   23  430 8611.00000 7174.27793  16.7%   194   85s
  5379  2894 7984.88740   34  115 8611.00000 7174.27793  16.7%   196   90s
  5399  2911 7924.37778   35   57 8611.00000 7174.27793  16.7%   196   95s
  5418  2951 7913.00000   36    8 8611.00000 7174.27793  16.7%   196  101s
  5518  3044 8025.92306   38   40 8611.00000 7175.42105  16.7%   196  105s
  6025  3574     cutoff   70      8611.00000 7175.42105  16.7%   197  110s
  7128  4414 8366.67469   48  146 8611.00000 7175.77298  16.7%   191  116s
  7854  4957 7220.66897   39  158 8611.00000 7176.39477  16.7%   188  120s
  8590  5548 7191.95231   29  407 8611.00000 7176.40000  16.7%   185  125s
  9485  6106 8455.95046  105  128 8611.00000 7176.40000  16.7%   181  130s
  9992  6582 8270.77583   71   28 8611.00000 7176.40000  16.7%   184  136s
 10761  7336     cutoff   39      8611.00000 7176.47373  16.7%   187  142s
 11403  7341 infeasible   85      8611.00000 7176.48571  16.7%   184  145s
 11861  8057 8199.00268   89  176 8611.00000 7176.49949  16.7%   182  151s
 12502  8667 8048.92282   70  187 8611.00000 7176.53217  16.7%   180  156s
 13337  8682 infeasible   77      8611.00000 7176.60690  16.7%   179  162s
 13344  8688 7806.72092   78  198 8611.00000 7176.60690  16.7%   179  166s
 13491  9054 7808.83454   80  197 8611.00000 7176.61159  16.7%   178  172s
 13843  9591 7179.66899   33  349 8611.00000 7176.70000  16.7%   178  176s
 15316 10614 8149.36286  127  139 8611.00000 7176.71579  16.7%   176  183s
 16016 11334 7200.30588   28  216 8611.00000 7176.76282  16.7%   174  186s
 17365 12152 8469.68719   82  229 8611.00000 7176.82120  16.7%   173  192s
 18020 12516 8316.43414   39  280 8611.00000 7176.93757  16.7%   173  196s
 18501 12585 8446.21172   83  167 8611.00000 7177.01463  16.7%   173  200s
 19329 13513 7930.97118   42  207 8611.00000 7177.01463  16.7%   172  207s
 19872 13519 7179.04348   24  141 8611.00000 7177.02648  16.7%   172  211s
 20000 13981 7988.89322   49  276 8611.00000 7177.07727  16.7%   172  218s
 20497 14620 8014.00000   56   82 8611.00000 7177.35854  16.6%   172  221s
 21287 15266 8047.13117   66  215 8611.00000 7177.42538  16.6%   171  225s
 22120 15623 7185.37693   29  288 8611.00000 7177.47099  16.6%   169  232s
 22628 16023 7999.23929  117   65 8611.00000 7177.47099  16.6%   169  236s
 23154 16587 7994.06038   55  221 8611.00000 7177.57674  16.6%   169  240s
 23919 16837 7839.51950   38  342 8611.00000 7177.61767  16.6%   168  247s
 24217 17355 8283.14319   78  158 8611.00000 7177.61767  16.6%   169  250s
 25637 18202 7959.95860   34  155 8611.00000 7177.69319  16.6%   167  260s
 26028 18788 7197.46775   28  267 8611.00000 7177.69381  16.6%   167  267s
 26908 19405     cutoff   36      8611.00000 7177.81200  16.6%   168  273s
 27822 19732 7196.30737   29  218 8611.00000 7177.82675  16.6%   169  279s
 28240 20465 7217.08571   48   83 8611.00000 7177.84405  16.6%   168  284s
 29223 21346 7207.10609   31  437 8611.00000 7177.86049  16.6%   167  289s
 30383 21348 8592.96140   65  139 8611.00000 7177.93693  16.6%   166  293s
 30409 21769 7789.62000   29   53 8611.00000 7177.95447  16.6%   166  297s
 30964 21929 8133.54344   54   93 8611.00000 7177.95586  16.6%   167  302s
 31174 21935 7613.62215   52  211 8611.00000 7177.97439  16.6%   167  307s
 31180 21941 7615.20848   53  205 8611.00000 7177.97439  16.6%   167  311s
 31186 21947 7615.20848   54  200 8611.00000 7177.97439  16.6%   167  316s
 31192 22047 7615.34257   55  198 8611.00000 7177.97784  16.6%   167  322s
 31414 22622 7806.17391   34   57 8611.00000 7177.97784  16.6%   167  326s
 32147 23118 7792.00000   28  154 8611.00000 7178.04152  16.6%   167  330s
 32929 23724 8323.96148   76  200 8611.00000 7178.05241  16.6%   167  335s
 34336 24823 7187.55400   33  298 8611.00000 7178.17167  16.6%   167  343s
 35221 25435 7799.18667   36   96 8611.00000 7178.22527  16.6%   166  347s
 35990 26378 8122.18670   96  154 8611.00000 7178.29167  16.6%   166  351s
 37216 26918 7757.68631   63  280 8611.00000 7178.37437  16.6%   164  355s
H37757 26564                    8549.0000000 7178.40439  16.0%   163  355s
H38971 27243                    8510.0000000 7178.44361  15.6%   162  364s
 39150 30422 7579.91261   48  172 8510.00000 7178.44361  15.6%   162  380s
 43482 30432 7793.95529   30   91 8510.00000 7178.70690  15.6%   159  386s
 43494 30439 7821.33333   30  146 8510.00000 7178.70690  15.6%   159  393s
 43505 30445 7841.51423   31   87 8510.00000 7178.70855  15.6%   159  396s
 43775 30887 8260.16113   69  188 8510.00000 7178.70855  15.6%   159  401s
 44163 31243 7221.39855   41  207 8510.00000 7178.78922  15.6%   159  405s
 45328 32180 7793.43250   29   51 8510.00000 7178.83603  15.6%   158  410s
 46321 32873 7856.62358   27  150 8510.00000 7178.88922  15.6%   158  416s
 47525 33722 7800.94118   34   94 8510.00000 7178.96803  15.6%   157  422s
 48001 34145 7201.02405   35  188 8510.00000 7179.00920  15.6%   158  425s
 49345 34689 infeasible   80      8510.00000 7179.03911  15.6%   157  431s
 49812 35260 7793.23688   23  148 8510.00000 7179.04657  15.6%   157  437s
 50175 35603 7939.61929   37   82 8510.00000 7179.06755  15.6%   158  441s
 50658 35809 8344.33225   84  140 8510.00000 7179.06755  15.6%   158  447s
 50987 36119     cutoff  130      8510.00000 7179.06755  15.6%   159  450s
 51491 36688 8001.00000   33   39 8510.00000 7179.07442  15.6%   159  455s
 52259 36694 7200.34321   28  260 8510.00000 7179.11705  15.6%   159  460s
H52265 34558                    8409.0000000 7179.11705  14.6%   159  465s
 52895 35451 7960.45901   39  318 8409.00000 7179.18869  14.6%   160  473s
 53544 35789 7798.10971   33   97 8409.00000 7179.22711  14.6%   160  477s
 54018 36267 7906.91614   33  184 8409.00000 7179.22711  14.6%   160  481s
 55545 36933 7793.17744   73   74 8409.00000 7179.31771  14.6%   160  488s
 55551 37329 7793.17782   74   77 8409.00000 7179.31771  14.6%   160  492s
 56166 37804 7181.81818   30  160 8409.00000 7179.33519  14.6%   159  496s
 56782 38155 8084.94902   40  240 8409.00000 7179.38817  14.6%   159  500s
 58274 38903 8173.75243   54  246 8409.00000 7179.42526  14.6%   159  507s
 58280 38908 8173.97040   55  244 8409.00000 7179.42526  14.6%   159  512s
 58287 38913 8173.98986   56  241 8409.00000 7179.42526  14.6%   159  515s
H58289 35863                    8308.0000000 7179.42526  13.6%   159  515s
 58294 35929 8174.11146   57  240 8308.00000 7179.42526  13.6%   159  520s
 58765 36614 8275.91801   63  307 8308.00000 7179.44403  13.6%   159  527s
 59378 37168 7873.38837   28  277 8308.00000 7179.49694  13.6%   159  531s
 60986 38375 7808.33421   32  126 8308.00000 7179.57895  13.6%   158  538s
 61963 39167 7971.77909   77  239 8308.00000 7179.59492  13.6%   158  541s
 63690 39690 7200.46667   29  130 8308.00000 7179.68510  13.6%   157  548s
 63701 39997 7200.46667   30  130 8308.00000 7179.68510  13.6%   157  551s
 64164 40586 infeasible   68      8308.00000 7179.69923  13.6%   157  556s
 64947 41267 7796.81818   27   92 8308.00000 7179.75357  13.6%   157  561s
 65819 41336 8028.15480   40  200 8308.00000 7179.78618  13.6%   157  567s
H65866 41069                    8295.0000000 7179.78618  13.4%   157  567s
 65893 41546 infeasible   31      8295.00000 7179.79512  13.4%   157  570s
